"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 18:57:15 GMT+05:00 2025","Tue Mar 18 18:57:18 GMT+05:00 2025","3381","","registration.WrongPasswordTest","","registration.WrongPasswordTest","shortPassword","Пароль менее 6 символов при регистрации",""
"failed","Tue Mar 18 18:57:12 GMT+05:00 2025","Tue Mar 18 18:57:15 GMT+05:00 2025","2999","","registration.RegistrationTest","","registration.RegistrationTest","registrationSuccess","Успешная регистрация пользователя",""
"failed","Tue Mar 18 18:56:21 GMT+05:00 2025","Tue Mar 18 18:56:29 GMT+05:00 2025","8047","","authorization.LoginTest","","authorization.LoginTest","loginThroughRegistrationPageButton","Авторизация через кнопку в форме регистрации",""
"failed","Tue Mar 18 18:56:07 GMT+05:00 2025","Tue Mar 18 18:56:13 GMT+05:00 2025","6308","","authorization.AccountLoginTest","","authorization.AccountLoginTest","accountLogin","Переход по клику на «Личный кабинет»",""
"failed","Tue Mar 18 18:56:54 GMT+05:00 2025","Tue Mar 18 18:57:03 GMT+05:00 2025","8445","","constructor.MoveMainPageTest","","constructor.MoveMainPageTest","moveMainPageWithConstructorButton","Gереход из личного кабинета в конструктор по клику на «Конструктор»",""
"passed","Tue Mar 18 18:56:52 GMT+05:00 2025","Tue Mar 18 18:56:54 GMT+05:00 2025","2465","","constructor.MoveConstructorTest","","constructor.MoveConstructorTest","navigationToBuns","Переход к разделу «Булки».",""
"passed","Tue Mar 18 18:56:47 GMT+05:00 2025","Tue Mar 18 18:56:49 GMT+05:00 2025","2436","","constructor.MoveConstructorTest","","constructor.MoveConstructorTest","navigationToFillings","Переходы к разделу «Начинки».",""
"failed","Tue Mar 18 18:56:38 GMT+05:00 2025","Tue Mar 18 18:56:47 GMT+05:00 2025","9022","","authorization.LogoutTest","","authorization.LogoutTest","logout","Проверь выход по кнопке «Выйти» в личном кабинете.",""
"failed","Tue Mar 18 18:56:29 GMT+05:00 2025","Tue Mar 18 18:56:38 GMT+05:00 2025","8406","","authorization.LoginTest","","authorization.LoginTest","loginThroughPersonalAccountButton","Авторизация через кнопку Личный кабинет","Можно авторизоваться через кнопку Личный кабинет"
"failed","Tue Mar 18 18:56:13 GMT+05:00 2025","Tue Mar 18 18:56:21 GMT+05:00 2025","8056","","authorization.LoginTest","","authorization.LoginTest","loginThroughRestorePasswordPageButton","Авторизация через кнопку в форме восстановления пароля",""
"passed","Tue Mar 18 18:56:49 GMT+05:00 2025","Tue Mar 18 18:56:52 GMT+05:00 2025","2387","","constructor.MoveConstructorTest","","constructor.MoveConstructorTest","navigationToSauces","Переходы к разделу «Соусы».",""
"failed","Tue Mar 18 18:57:03 GMT+05:00 2025","Tue Mar 18 18:57:12 GMT+05:00 2025","9196","","constructor.MoveMainPageTest","","constructor.MoveMainPageTest","moveMainPageWithLogoButton","Проверь переход из личного кабинета в конструктор по клику на логотип Stellar Burgers",""
